country,player_name,player_name_en,shirt_number,position,rarity,priority,output_path,prompt
"Spain","大卫·拉亚","RAYA David","1","GK","Rare","P2","public/cards/spain/raya-david.png","Create one complete vertical 2:3 AI-generated 2026 World Cup football collectible card for RAYA David / 大卫·拉亚. National team: Spain. Jersey: Spain red home jersey with yellow-gold trim and dark blue accents. Shirt number: #1. Position: GK. Portrait direction: create an original footballer portrait with a similar playing-role energy and public vibe to RAYA David, but do not request or imply an exact likeness, identity-copy, or real photo replication. Rarity: Rare. Visual strength: 60% luxury. Design language: blue-silver formal World Cup collectible card, clean premium border, clear player portrait, reduced light effects. Country palette: red, yellow-gold, dark blue. Use the unified card system inspired by the local Rare template reference (assets/card_templates/sample-rare-diogo-costa.png): Layer 1 background and border, Layer 2 player portrait, Layer 3 UI information; keep the face and upper body clear. Visible card text only: ""大卫·拉亚"", ""RAYA David"", ""Spain"", ""#1"", ""GK"", ""Rare"", ""2026 World Cup"", ""CAN / MEX / USA 2026"". Output filename: raya-david.png. Intended path: public/cards/spain/raya-david.png. Strictly avoid UEFA EURO, EURO 2024, Qatar 2022, 2022 World Cup, ability values, attack/defense/speed attributes, FUT-style attribute panels, titles, codenames, slogans, short descriptive copy, club logos, sponsor logos, watermarks, extra random text, and misspelled tournament branding."
"Spain","马克·普比尔","PUBILL Marc","2","DF","Common","P3","public/cards/spain/pubill-marc.png","Create one complete vertical 2:3 AI-generated 2026 World Cup football collectible card for PUBILL Marc / 马克·普比尔. National team: Spain. Jersey: Spain red home jersey with yellow-gold trim and dark blue accents. Shirt number: #2. Position: DF. Portrait direction: create an original footballer portrait with a similar playing-role energy and public vibe to PUBILL Marc, but do not request or imply an exact likeness, identity-copy, or real photo replication. Rarity: Common. Visual strength: 40% luxury. Design language: white-silver clean World Cup collectible card, simple but still premium, clear player portrait, minimal glow. Country palette: red, yellow-gold, dark blue. Use the unified card system inspired by the local Common template reference (assets/card_templates/sample-common-nelson-semedo.png): Layer 1 background and border, Layer 2 player portrait, Layer 3 UI information; keep the face and upper body clear. Visible card text only: ""马克·普比尔"", ""PUBILL Marc"", ""Spain"", ""#2"", ""DF"", ""Common"", ""2026 World Cup"", ""CAN / MEX / USA 2026"". Output filename: pubill-marc.png. Intended path: public/cards/spain/pubill-marc.png. Strictly avoid UEFA EURO, EURO 2024, Qatar 2022, 2022 World Cup, ability values, attack/defense/speed attributes, FUT-style attribute panels, titles, codenames, slogans, short descriptive copy, club logos, sponsor logos, watermarks, extra random text, and misspelled tournament branding."
"Spain","亚历克斯·格里马尔多","GRIMALDO Alex","3","DF","Common","P3","public/cards/spain/grimaldo-alex.png","Create one complete vertical 2:3 AI-generated 2026 World Cup football collectible card for GRIMALDO Alex / 亚历克斯·格里马尔多. National team: Spain. Jersey: Spain red home jersey with yellow-gold trim and dark blue accents. Shirt number: #3. Position: DF. Portrait direction: create an original footballer portrait with a similar playing-role energy and public vibe to GRIMALDO Alex, but do not request or imply an exact likeness, identity-copy, or real photo replication. Rarity: Common. Visual strength: 40% luxury. Design language: white-silver clean World Cup collectible card, simple but still premium, clear player portrait, minimal glow. Country palette: red, yellow-gold, dark blue. Use the unified card system inspired by the local Common template reference (assets/card_templates/sample-common-nelson-semedo.png): Layer 1 background and border, Layer 2 player portrait, Layer 3 UI information; keep the face and upper body clear. Visible card text only: ""亚历克斯·格里马尔多"", ""GRIMALDO Alex"", ""Spain"", ""#3"", ""DF"", ""Common"", ""2026 World Cup"", ""CAN / MEX / USA 2026"". Output filename: grimaldo-alex.png. Intended path: public/cards/spain/grimaldo-alex.png. Strictly avoid UEFA EURO, EURO 2024, Qatar 2022, 2022 World Cup, ability values, attack/defense/speed attributes, FUT-style attribute panels, titles, codenames, slogans, short descriptive copy, club logos, sponsor logos, watermarks, extra random text, and misspelled tournament branding."
"Spain","埃里克·加西亚","GARCIA Eric","4","DF","Common","P3","public/cards/spain/garcia-eric.png","Create one complete vertical 2:3 AI-generated 2026 World Cup football collectible card for GARCIA Eric / 埃里克·加西亚. National team: Spain. Jersey: Spain red home jersey with yellow-gold trim and dark blue accents. Shirt number: #4. Position: DF. Portrait direction: create an original footballer portrait with a similar playing-role energy and public vibe to GARCIA Eric, but do not request or imply an exact likeness, identity-copy, or real photo replication. Rarity: Common. Visual strength: 40% luxury. Design language: white-silver clean World Cup collectible card, simple but still premium, clear player portrait, minimal glow. Country palette: red, yellow-gold, dark blue. Use the unified card system inspired by the local Common template reference (assets/card_templates/sample-common-nelson-semedo.png): Layer 1 background and border, Layer 2 player portrait, Layer 3 UI information; keep the face and upper body clear. Visible card text only: ""埃里克·加西亚"", ""GARCIA Eric"", ""Spain"", ""#4"", ""DF"", ""Common"", ""2026 World Cup"", ""CAN / MEX / USA 2026"". Output filename: garcia-eric.png. Intended path: public/cards/spain/garcia-eric.png. Strictly avoid UEFA EURO, EURO 2024, Qatar 2022, 2022 World Cup, ability values, attack/defense/speed attributes, FUT-style attribute panels, titles, codenames, slogans, short descriptive copy, club logos, sponsor logos, watermarks, extra random text, and misspelled tournament branding."
"Spain","马科斯·略伦特","LLORENTE Marcos","5","DF","Common","P3","public/cards/spain/llorente-marcos.png","Create one complete vertical 2:3 AI-generated 2026 World Cup football collectible card for LLORENTE Marcos / 马科斯·略伦特. National team: Spain. Jersey: Spain red home jersey with yellow-gold trim and dark blue accents. Shirt number: #5. Position: DF. Portrait direction: create an original footballer portrait with a similar playing-role energy and public vibe to LLORENTE Marcos, but do not request or imply an exact likeness, identity-copy, or real photo replication. Rarity: Common. Visual strength: 40% luxury. Design language: white-silver clean World Cup collectible card, simple but still premium, clear player portrait, minimal glow. Country palette: red, yellow-gold, dark blue. Use the unified card system inspired by the local Common template reference (assets/card_templates/sample-common-nelson-semedo.png): Layer 1 background and border, Layer 2 player portrait, Layer 3 UI information; keep the face and upper body clear. Visible card text only: ""马科斯·略伦特"", ""LLORENTE Marcos"", ""Spain"", ""#5"", ""DF"", ""Common"", ""2026 World Cup"", ""CAN / MEX / USA 2026"". Output filename: llorente-marcos.png. Intended path: public/cards/spain/llorente-marcos.png. Strictly avoid UEFA EURO, EURO 2024, Qatar 2022, 2022 World Cup, ability values, attack/defense/speed attributes, FUT-style attribute panels, titles, codenames, slogans, short descriptive copy, club logos, sponsor logos, watermarks, extra random text, and misspelled tournament branding."
"Spain","米克尔·梅里诺","MERINO Mikel","6","MF","Common","P3","public/cards/spain/merino-mikel.png","Create one complete vertical 2:3 AI-generated 2026 World Cup football collectible card for MERINO Mikel / 米克尔·梅里诺. National team: Spain. Jersey: Spain red home jersey with yellow-gold trim and dark blue accents. Shirt number: #6. Position: MF. Portrait direction: create an original footballer portrait with a similar playing-role energy and public vibe to MERINO Mikel, but do not request or imply an exact likeness, identity-copy, or real photo replication. Rarity: Common. Visual strength: 40% luxury. Design language: white-silver clean World Cup collectible card, simple but still premium, clear player portrait, minimal glow. Country palette: red, yellow-gold, dark blue. Use the unified card system inspired by the local Common template reference (assets/card_templates/sample-common-nelson-semedo.png): Layer 1 background and border, Layer 2 player portrait, Layer 3 UI information; keep the face and upper body clear. Visible card text only: ""米克尔·梅里诺"", ""MERINO Mikel"", ""Spain"", ""#6"", ""MF"", ""Common"", ""2026 World Cup"", ""CAN / MEX / USA 2026"". Output filename: merino-mikel.png. Intended path: public/cards/spain/merino-mikel.png. Strictly avoid UEFA EURO, EURO 2024, Qatar 2022, 2022 World Cup, ability values, attack/defense/speed attributes, FUT-style attribute panels, titles, codenames, slogans, short descriptive copy, club logos, sponsor logos, watermarks, extra random text, and misspelled tournament branding."
"Spain","费兰·托雷斯","TORRES Ferran","7","FW","Common","P3","public/cards/spain/torres-ferran.png","Create one complete vertical 2:3 AI-generated 2026 World Cup football collectible card for TORRES Ferran / 费兰·托雷斯. National team: Spain. Jersey: Spain red home jersey with yellow-gold trim and dark blue accents. Shirt number: #7. Position: FW. Portrait direction: create an original footballer portrait with a similar playing-role energy and public vibe to TORRES Ferran, but do not request or imply an exact likeness, identity-copy, or real photo replication. Rarity: Common. Visual strength: 40% luxury. Design language: white-silver clean World Cup collectible card, simple but still premium, clear player portrait, minimal glow. Country palette: red, yellow-gold, dark blue. Use the unified card system inspired by the local Common template reference (assets/card_templates/sample-common-nelson-semedo.png): Layer 1 background and border, Layer 2 player portrait, Layer 3 UI information; keep the face and upper body clear. Visible card text only: ""费兰·托雷斯"", ""TORRES Ferran"", ""Spain"", ""#7"", ""FW"", ""Common"", ""2026 World Cup"", ""CAN / MEX / USA 2026"". Output filename: torres-ferran.png. Intended path: public/cards/spain/torres-ferran.png. Strictly avoid UEFA EURO, EURO 2024, Qatar 2022, 2022 World Cup, ability values, attack/defense/speed attributes, FUT-style attribute panels, titles, codenames, slogans, short descriptive copy, club logos, sponsor logos, watermarks, extra random text, and misspelled tournament branding."
"Spain","法比安·鲁伊斯","RUIZ Fabian","8","MF","Common","P3","public/cards/spain/ruiz-fabian.png","Create one complete vertical 2:3 AI-generated 2026 World Cup football collectible card for RUIZ Fabian / 法比安·鲁伊斯. National team: Spain. Jersey: Spain red home jersey with yellow-gold trim and dark blue accents. Shirt number: #8. Position: MF. Portrait direction: create an original footballer portrait with a similar playing-role energy and public vibe to RUIZ Fabian, but do not request or imply an exact likeness, identity-copy, or real photo replication. Rarity: Common. Visual strength: 40% luxury. Design language: white-silver clean World Cup collectible card, simple but still premium, clear player portrait, minimal glow. Country palette: red, yellow-gold, dark blue. Use the unified card system inspired by the local Common template reference (assets/card_templates/sample-common-nelson-semedo.png): Layer 1 background and border, Layer 2 player portrait, Layer 3 UI information; keep the face and upper body clear. Visible card text only: ""法比安·鲁伊斯"", ""RUIZ Fabian"", ""Spain"", ""#8"", ""MF"", ""Common"", ""2026 World Cup"", ""CAN / MEX / USA 2026"". Output filename: ruiz-fabian.png. Intended path: public/cards/spain/ruiz-fabian.png. Strictly avoid UEFA EURO, EURO 2024, Qatar 2022, 2022 World Cup, ability values, attack/defense/speed attributes, FUT-style attribute panels, titles, codenames, slogans, short descriptive copy, club logos, sponsor logos, watermarks, extra random text, and misspelled tournament branding."
"Spain","加维","GAVI","9","MF","Rare","P2","public/cards/spain/gavi.png","Create one complete vertical 2:3 AI-generated 2026 World Cup football collectible card for GAVI / 加维. National team: Spain. Jersey: Spain red home jersey with yellow-gold trim and dark blue accents. Shirt number: #9. Position: MF. Portrait direction: create an original footballer portrait with a similar playing-role energy and public vibe to GAVI, but do not request or imply an exact likeness, identity-copy, or real photo replication. Rarity: Rare. Visual strength: 60% luxury. Design language: blue-silver formal World Cup collectible card, clean premium border, clear player portrait, reduced light effects. Country palette: red, yellow-gold, dark blue. Use the unified card system inspired by the local Rare template reference (assets/card_templates/sample-rare-diogo-costa.png): Layer 1 background and border, Layer 2 player portrait, Layer 3 UI information; keep the face and upper body clear. Visible card text only: ""加维"", ""GAVI"", ""Spain"", ""#9"", ""MF"", ""Rare"", ""2026 World Cup"", ""CAN / MEX / USA 2026"". Output filename: gavi.png. Intended path: public/cards/spain/gavi.png. Strictly avoid UEFA EURO, EURO 2024, Qatar 2022, 2022 World Cup, ability values, attack/defense/speed attributes, FUT-style attribute panels, titles, codenames, slogans, short descriptive copy, club logos, sponsor logos, watermarks, extra random text, and misspelled tournament branding."
"Spain","达尼·奥尔莫","OLMO Dani","10","FW","Epic","P1","public/cards/spain/olmo-dani.png","Create one complete vertical 2:3 AI-generated 2026 World Cup football collectible card for OLMO Dani / 达尼·奥尔莫. National team: Spain. Jersey: Spain red home jersey with yellow-gold trim and dark blue accents. Shirt number: #10. Position: FW. Portrait direction: create an original footballer portrait with a similar playing-role energy and public vibe to OLMO Dani, but do not request or imply an exact likeness, identity-copy, or real photo replication. Rarity: Epic. Visual strength: 80% luxury. Design language: purple-gold and national-team energy card, star-player poster feeling, strong but controlled glow, premium gem-like border. Country palette: red, yellow-gold, dark blue. Use the unified card system inspired by the local Epic template reference (assets/card_templates/sample-epic-bruno.png): Layer 1 background and border, Layer 2 player portrait, Layer 3 UI information; keep the face and upper body clear. Visible card text only: ""达尼·奥尔莫"", ""OLMO Dani"", ""Spain"", ""#10"", ""FW"", ""Epic"", ""2026 World Cup"", ""CAN / MEX / USA 2026"". Output filename: olmo-dani.png. Intended path: public/cards/spain/olmo-dani.png. Strictly avoid UEFA EURO, EURO 2024, Qatar 2022, 2022 World Cup, ability values, attack/defense/speed attributes, FUT-style attribute panels, titles, codenames, slogans, short descriptive copy, club logos, sponsor logos, watermarks, extra random text, and misspelled tournament branding."
